City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.86,70,78,32.77,TF,1706635768
1,vorgashor,67.5833,63.95,7.41,95,100,12.24,RU,1706635769
2,jamestown,42.097,-79.2353,36.99,90,100,11.5,US,1706635557
3,constantia,44.1833,28.65,29.08,71,83,13.35,RO,1706635513
4,yellowknife,62.456,-114.3525,19.92,100,100,15.01,CA,1706635770
5,wailua homesteads,22.0669,-159.378,69.75,88,40,5.75,US,1706635771
6,bredasdorp,-34.5322,20.0403,72.19,67,20,16.69,ZA,1706635772
7,puerto natales,-51.7236,-72.4875,57.65,72,100,3.44,CL,1706635773
8,alice springs,-23.7,133.8833,87.35,20,24,10.36,AU,1706635773
9,badger,64.8,-147.5333,-19.19,72,75,0.0,US,1706635774
10,wijhe,52.3867,6.1347,47.17,92,100,11.01,NL,1706635775
11,northam,51.0333,-4.2167,41.4,81,81,4.81,GB,1706635775
12,micoud,13.8167,-60.9,85.98,76,40,13.8,LC,1706635776
13,presidencia de la plaza,-27.0015,-59.8424,102.06,21,0,3.58,AR,1706635776
14,adamstown,-25.066,-130.1015,73.96,89,100,20.87,PN,1706635777
15,grytviken,-54.2811,-36.5092,42.46,71,31,14.03,GS,1706635778
16,waitangi,-43.9535,-176.5597,61.83,97,100,5.99,NZ,1706635778
17,puerto baquerizo moreno,-0.9,-89.6,81.59,89,100,11.5,EC,1706635779
18,olonkinbyen,70.9221,-8.7187,23.7,83,99,15.05,SJ,1706635519
19,edinburgh of the seven seas,-37.0676,-12.3116,58.68,60,28,16.2,SH,1706635780
20,bethel,41.3712,-73.414,36.52,66,100,3.44,US,1706635781
21,hawaiian paradise park,19.5933,-154.9731,68.9,86,20,4.61,US,1706635781
22,guasdualito,7.2424,-70.7324,93.16,46,0,6.91,VE,1706635782
23,hermanus,-34.4187,19.2345,75.79,68,52,12.48,ZA,1706635782
24,kone,-21.0595,164.8658,76.84,82,85,2.68,NC,1706635783
25,cam ranh,11.9214,109.1591,76.96,78,20,5.75,VN,1706635784
26,desaguadero,-16.5656,-69.0417,58.51,51,92,8.5,PE,1706635784
27,sumenep,-7.0167,113.8667,78.21,88,85,5.97,ID,1706635785
28,whitehorse,60.7161,-135.0538,36.37,80,75,12.66,CA,1706635785
